food_category_id,count,New
9999,75,9999
8802,8,Baking
Baking,106,Baking
Baking Accessories,33,Baking
Baking Additives & Extracts,3797,Baking
Baking Decorations & Dessert Toppings,17554,Baking
Baking Needs,26,Baking
Baking/Cooking Mixes (Frozen),1,Baking
Baking/Cooking Mixes (Perishable),28,Baking
Baking/Cooking Mixes (Shelf Stable),73,Baking
Baking/Cooking Mixes/Supplies,4072,Baking
Baking/Cooking Mixes/Supplies Variety Packs,1,Baking
Baking/Cooking Supplies (Shelf Stable),39,Baking
"Granulated, Brown & Powdered Sugar",8388,Baking
Sugar And Flour,15,Baking
Sugars/Sugar Substitute Products,64,Baking
14,3255,Beverage
7002,13,Beverage
7004,3,Beverage
7006,19,Beverage
7008,9,Beverage
7102,13,Beverage
7104,12,Beverage
7106,6,Beverage
7202,14,Beverage
7204,54,Beverage
7206,19,Beverage
7208,16,Beverage
7220,25,Beverage
7302,113,Beverage
7304,45,Beverage
7502,7,Beverage
7504,12,Beverage
7506,71,Beverage
7702,2,Beverage
7704,1,Beverage
7802,5,Beverage
7804,2,Beverage
Breakfast Drinks,430,Beverage
Drinks,9,Beverage
"Drinks - Juices, Drinks and Cordials",26,Beverage
Drinks - Soft Drinks,10,Beverage
Drinks Flavoured - Ready to Drink,89,Beverage
"Energy, Protein & Muscle Recovery Drinks",10493,Beverage
"Fruit & Vegetable Juice, Nectars & Fruit Drinks",41255,Beverage
Iced & Bottle Tea,9421,Beverage
Liquid Water Enhancer,3291,Beverage
Non Alcoholic Beverages  Not Ready to Drink,410,Beverage
Non Alcoholic Beverages  Ready to Drink,7534,Beverage
Non Alcoholic Beverages - Not Ready to Drink,107,Beverage
Non Alcoholic Beverages - Ready to Drink,387,Beverage
Non Alcoholic Beverages – Not Ready to Drink,48,Beverage
Non Alcoholic Beverages – Ready to Drink,788,Beverage
Other Drinks,19763,Beverage
Plant Based Water,2942,Beverage
Powdered Drinks,18604,Beverage
Soda,32978,Beverage
Specialty Formula Supplements,1155,Beverage
Sport Drinks,3321,Beverage
Tea Bags,6665,Beverage
Water,26436,Beverage
4202,118,Bread
Bread,4002,Bread
Bread - Incl. Buns And Rolls,16,Bread
Bread (Frozen),215,Bread
Bread (Shelf Stable),5,Bread
Bread/Bakery Products Variety Packs,242,Bread
Breads & Buns,47233,Bread
Dried Breads (Shelf Stable),8,Bread
Frozen Bread & Dough,4970,Bread
Canned Fruit,15108,Canned Fruit
Canned Vegetables,20601,Canned Vegetables
Canned/Dried Veges,11,Canned Vegetables
Cereal,36800,Cereal
Cereal Products - Ready to Eat (Perishable),9,Cereal
Cereal/Muesli Bars,469,Cereal
Cereals Products - Not Ready to Eat (Shelf Stable),20,Cereal
Cereals Products - Ready to Eat (Shelf Stable),512,Cereal
Cheese/Cheese Substitutes,643,Cereal
1602,58,Cheese
1604,16,Cheese
Cheese,81283,Cheese
Cheese - Block,11,Cheese
Cheese - Speciality ,27,Cheese
Processed Cheese & Cheese Novelties,3,Cheese
Coffee,1675,Coffee
"Coffee - Instant, Roast and Ground",2,Coffee
Coffee/Coffee Substitutes,1,Coffee
Coffee/Tea/Substitutes,380,Coffee
Confection & Snacks,65,Confectionery
Confectionery,86,Confectionery
Confectionery Products,1998,Confectionery
1,10784,Dairy and Egg Products
1002,7,Dairy and Egg Products
1004,4,Dairy and Egg Products
1006,4,Dairy and Egg Products
1008,6,Dairy and Egg Products
1202,10,Dairy and Egg Products
1204,15,Dairy and Egg Products
1206,11,Dairy and Egg Products
1208,12,Dairy and Egg Products
1402,13,Dairy and Egg Products
1820,17,Dairy and Egg Products
1822,14,Dairy and Egg Products
2502,147,Dairy and Egg Products
Butter & Spread,8356,Dairy and Egg Products
Butter/Butter Substitutes,164,Dairy and Egg Products
Cream,7796,Dairy and Egg Products
Cream/Cream Substitutes,88,Dairy and Egg Products
Dairy Foods/Yoghurts,34,Dairy and Egg Products
Dairy/Egg Based Products / Meals,71,Dairy and Egg Products
Eggs,4,Dairy and Egg Products
Eggs & Egg Substitutes,3648,Dairy and Egg Products
Eggs Products/Substitutes,1,Dairy and Egg Products
Eggs/Eggs Substitutes,78,Dairy and Egg Products
Margarine/Butter,1,Dairy and Egg Products
Milk,22621,Dairy and Egg Products
Milk Additives,9010,Dairy and Egg Products
Milk/Cream,4,Dairy and Egg Products
Milk/Cream - Shelf Stable,11,Dairy and Egg Products
Milk/Milk Substitutes,50,Dairy and Egg Products
Yogurt,36729,Dairy and Egg Products
Yogurt (Perishable),54,Dairy and Egg Products
Yogurt/Yogurt Substitutes,3003,Dairy and Egg Products
