pkIngredientID,fldIngredientName,fkIngredientCategoryID,fkDurabilityID,fkNutritionID,in_food_csv,in_food_portion_csv
51,dark chocolate,1,0,364765,1,0
52,caputo 00 flour,1,0,2,0,0
53,agave nectar,1,0,358995,1,0
54,almond extract,7,0,554053,1,0
55,baking powder,1,6,1117169,1,0
56,baking soda,1,6,1128726,1,0
57,sugar,1,0,1111475,1,0
58,cocoa powder,1,0,1111648,1,0
59,dark brown sugar,1,0,381548,1,0
60,instant yeast,1,0,2575877,1,0
61,light brown sugar,1,0,358291,1,0
62,pastry flour,1,0,532183,1,0
63,superfine sugar,1,0,1106987,1,0
64,vanilla extract,1,0,173471,1,1
65,gluten free flour,1,0,2505951,1,0
66,potato starch,1,0,359697,1,0
67,rice flour,1,0,1132456,1,0
68,almond milk,2,0,1276906,1,0
69,salted butter,2,0,384768,1,0
70,earth balance,2,0,385303,1,0
71,eggs,2,0,1121015,1,0
72,labneh,2,0,2278623,1,0
73,Greek yogurt,2,0,356731,1,0
74,acai powder,3,0,589521,1,0
75,currants,3,0,474058,1,0
76,dried apricots,3,0,370495,1,0
77,dried cherries,3,0,359006,1,0
78,dried cranberries,3,0,2535369,1,0
79,dried ginger,3,0,546617,1,0
80,dried mission figs,3,0,2387156,1,0
81,dried pineapple,3,0,453880,1,0
82,dried tangerines,3,0,2630711,1,0
83,goji berries,3,0,1045965,1,0
84,golden raisins,3,0,381211,1,0
85,raisins,3,0,359037,1,0
86,dried dates,3,0,474946,1,0
87,ancho peppers,5,0,169396,1,1
88,arbol peppers,5,0,1113318,1,0
89,nora peppers,5,0,2,0,0
90,dried chanterelles,4,0,2530041,1,0
92,guajillo peppers,5,0,474864,1,0
93,dried morels,4,0,449512,1,0
94,morita peppers,5,0,1039593,0,0
95,calabrian peppers,5,0,388746,1,0
96,dried porcinis,4,0,370168,1,0
98,acai chunks,9,0,2374428,1,0
99,frozen avocado,8,0,171706,1,1
100,frozen artichokes,8,0,475596,1,0
101,frozen blueberries,9,0,414745,1,0
102,frozen coconut,9,0,1,0,0
103,frozen corn,8,0,168400,1,1
104,frozen dragonfruit,9,0,411576,1,0
105,"edamame, shelled",8,0,657146,1,0
106,"edamame, whole",8,0,557352,1,0
107,frozen ginger,9,0,1,0,0
108,frozen peaches,9,0,831498,1,0
109,frozen raspberries,9,0,1130965,1,0
110,frozen strawberries,9,0,448622,1,0
111,frozen blackberries,9,0,523952,1,0
112,frozen mango,9,0,594072,1,0
113,frozen pineapple,9,0,454107,1,0
118,shrimp,26,0,1120285,1,0
119,flounder,26,0,449497,1,0
120,mahi mahi,26,0,521106,1,0
121,sockeye salmon,26,0,542354,1,0
122,yellowfin tuna,26,0,450100,1,0
123,israeli couscous,12,0,1112247,1,0
124,ramen,12,0,520236,1,0
125,polenta,12,0,377372,1,0
126,steel cut oats,12,0,1109533,1,0
127,basmati,12,0,1129505,1,0
128,soba noodles,12,0,1174416,0,0
129,udon noodles,12,0,1454617,0,0
130,couscous,12,0,169699,1,1
131,farro,12,0,386409,1,0
132,carnaroli rice,12,0,1044855,1,0
133,short grain rice,12,0,1144895,1,0
134,sushi rice,12,0,411510,1,0
135,quinoa,12,0,1112169,1,0
137,dry cranberry beans,6,0,1395052,0,0
138,dry black beans,6,0,1106780,1,0
139,cannellini beans,7,0,1108448,1,0
140,dry cannellini beans,6,0,444961,1,0
141,dry fava beans,6,0,489216,0,0
142,french lentils,6,0,514103,0,0
143,green lentils,6,0,172420,1,1
144,dry chickpeas,6,0,173756,1,1
145,chickpeas,7,0,465794,1,0
146,green split peas,6,0,1135549,0,0
147,red kidney beans,7,0,1107947,1,0
148,masoor dal,6,0,591434,1,0
149,toor dal,6,0,1143826,1,0
150,sona masoori rice,12,0,2612366,1,0
151,idli rice,12,0,1351570,0,0
152,jasmine rice,12,0,1845677,1,0
153,frozen peas,8,0,1114421,1,0
154,pecans,13,0,1127812,1,0
155,pine nuts,13,0,381238,1,0
156,sliced almonds,13,0,1124975,1,0
157,almonds,13,0,1138879,1,0
158,chopped dates,3,0,385242,1,0
